,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,0.14950566674704605,0.15143796600750242,,0.11521811521811522
AAGAB,0.48220638162611085,,0.37051320772251,
AARS,,0.9545295613477432,,
AATK,,0.29202615566251927,,
ABAT,,,0.5228896516025229,
ABCA1,1.0,,1.0,
ABCA2,,0.8896980502940768,,
ABCA3,0.9065861534399772,,,
ABCA5,0.7068412973419392,0.6214422520155004,,
ABCA7,1.0,,,
ABCA8,0.4558960352951769,0.35525724275724274,0.36868279926002234,0.262402231914427
ABCB1,0.4563857195436143,0.38111888111888115,,
ABCB6,,,0.5474355612506515,
ABCC1,0.515401114312185,,0.4363082360514966,
ABCC9,0.5334456119796435,,0.5039119970938153,
ABCF1,,0.9011045134640641,,
ABCG1,0.9985391321007759,0.9328791333471521,,
ABCG2,,,0.9984095904095903,
ABHD17A,,0.7943761096831674,,
ABHD3,,,0.9748526033160795,
ABHD5,0.18715097851788498,,,
ABI2,,1.0,,
ABI3,,1.0,1.0,
ABI3BP,0.990313658707441,,0.907050083205475,
ABLIM1,,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,1.0,1.0,
ABT1,,1.0,,1.0
ABTB1,,0.8769901250977786,0.8869474211089118,
ACACA,,0.6530122896550737,,
ACADM,,,1.0,
ACADSB,1.0,,,
ACAN,0.9739815344797551,0.8976230582069997,,
ACER3,,1.0,,
ACKR1,,,0.363864520471372,
ACKR3,0.5701227905952315,0.5233274188498068,,
ACO2,,0.5569512454758356,,
ACOT9,1.0,,1.0,
ACSL1,0.7348583619770062,0.6652256834075017,,
ACSL3,,0.20721026546269267,,
ACSL4,0.4377353415814954,,0.36403918661983176,
ACSL5,,0.15143796600750242,0.177022977022977,0.11521811521811522
ACSL6,,0.17658017658017658,0.177022977022977,
ACSS1,1.0,,,1.0
ACSS3,0.15671075912039767,0.14115514115514116,0.17412096100620691,
ACTA2,0.48910936100228647,,0.39587416802606673,
ACTB,1.0,1.0,1.0,
ACTC1,,,,0.6225494935172354
ACTG1,,,1.0,
ACTN1,,1.0,1.0,
